Movie,Release,Oscar number,Nominations,Director,Duration (minutes),Language
Ben-Hur,1959,5,12,William Wyler,212,English
The Lord of the Rings: The Return of the King,2003,11,11,Peter Jackson,201,English
Titanic,1997,11,14,James Cameron,195,English
West Side Story,1961,10,11,"Robert Wise, Jerome Robbins",152,English
The English Patient,1996,9,12,Anthony Minghella,16,"English, German, Italian, Arabic"
Gigi,1958,9,9,Vincente Minnelli,115,English
The Last Emperor,1987,9,9,Bernardo Bertolucci,163,"English, Mandarin, Japanese"
Amadeus,1984,8,11,Miloš Forman,161,English
Cabaret,1972,8,10,Bob Fosse,124,"English, German"
From Here to Eternity,1953,8,13,Fred Zinnemann,118,English
Gandhi,1982,8,11,Richard Attenborough,191,English
Gone with the Wind,1939,8,13,Victor Fleming,221,English
My Fair Lady,1964,8,12,George Cukor,170,English
On the Waterfront,1954,8,12,Elia Kazan,108,English
